ISBN;NAME;DESCRIPTION;AUTHOR;PUBLICATIONYEAR;IMAGEURLM;IMAGEURLL;PRICE;BOOKSAVAILABLE;RATING
0195153448;Classical Mythology;Classical Mythology;Mark P. O. Morford;2002;http://images.amazon.com/images/P/0195153448.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg;256.22242641102025;0;0.0
0002005018;Clara Callan;Clara Callan;Richard Bruce Wright;2001;http://images.amazon.com/images/P/0002005018.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg;135.3421165008236;9;4.928571428571429
0060973129;Decision in Normandy;Decision in Normandy;Carlo D'Este;1991;http://images.amazon.com/images/P/0060973129.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg;433.5962349629304;0;5.0
0374157065;Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It;Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It;Gina Bari Kolata;1999;http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg;411.03564672400944;5;4.2727272727272725
0393045218;The Mummies of Urumchi;The Mummies of Urumchi;E. J. W. Barber;1999;http://images.amazon.com/images/P/0393045218.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0393045218.01.MZZZZZZZ.jpg;329.95144587558644;0;0.0
0399135782;The Kitchen God's Wife;The Kitchen God's Wife;Amy Tan;1991;http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg;488.4089826549853;2;4.212121212121212
0425176428;What If?: The World's Foremost Military Historians Imagine What Might Have Been;What If?: The World's Foremost Military Historians Imagine What Might Have Been;Robert Cowley;2000;http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg;161.62414691225874;9;1.6
0671870432;PLEADING GUILTY;PLEADING GUILTY;Scott Turow;1993;http://images.amazon.com/images/P/0671870432.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg;203.0408146454649;8;2.6666666666666665
0679425608;Under the Black Flag: The Romance and the Reality of Life Among the Pirates;Under the Black Flag: The Romance and the Reality of Life Among the Pirates;David Cordingly;1996;http://images.amazon.com/images/P/0679425608.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg;105.96958876371765;2;0.0
074322678X;Where You'll Find Me: And Other Stories;Where You'll Find Me: And Other Stories;Ann Beattie;2002;http://images.amazon.com/images/P/074322678X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg;34.710157425130504;5;5.0
0771074670;Nights Below Station Street;Nights Below Station Street;David Adams Richards;1988;http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg;155.29158983054324;1;1.0
080652121X;Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust;Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust;Adam Lebor;2000;http://images.amazon.com/images/P/080652121X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/080652121X.01.LZZZZZZZ.jpg;191.36112053296344;7;0.0
0887841740;The Middle Stories;The Middle Stories;Sheila Heti;2004;http://images.amazon.com/images/P/0887841740.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg;301.8842740272766;4;2.5
1552041778;Jane Doe;Jane Doe;R. J. Kaiser;1999;http://images.amazon.com/images/P/1552041778.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg;147.4437647996706;0;5.0
1558746218;A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series);A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series);Jack Canfield;1998;http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg;14.708709496211391;8;3.375
1567407781;The Witchfinder (Amos Walker Mystery Series);The Witchfinder (Amos Walker Mystery Series);Loren D. Estleman;1998;http://images.amazon.com/images/P/1567407781.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg;463.66269283825136;9;6.0
1575663937;More Cunning Than Man: A Social History of Rats and Man;More Cunning Than Man: A Social History of Rats and Man;Robert Hendrickson;1999;http://images.amazon.com/images/P/1575663937.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg;439.7991887363059;5;2.0
1881320189;Goodbye to the Buttermilk Sky;Goodbye to the Buttermilk Sky;Julia Oliver;1994;http://images.amazon.com/images/P/1881320189.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1881320189.01.LZZZZZZZ.jpg;149.0594807554315;3;4.666666666666667
0440234743;The Testament;The Testament;John Grisham;1999;http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg;252.21022065994637;4;3.085308056872038
0452264464;Beloved (Plume Contemporary Fiction);Beloved (Plume Contemporary Fiction);Toni Morrison;1994;http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg;483.6880109780123;0;3.411111111111111
0609804618;Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source;Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source;The Onion;1999;http://images.amazon.com/images/P/0609804618.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg;317.17232690546825;7;5.684210526315789
1841721522;New Vegetarian: Bold and Beautiful Recipes for Every Occasion;New Vegetarian: Bold and Beautiful Recipes for Every Occasion;Celia Brooks Brown;2001;http://images.amazon.com/images/P/1841721522.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1841721522.01.MZZZZZZZ.jpg;20.09203875533877;1;2.0
1879384493;If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself;If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself;J. R. Parrish;2003;http://images.amazon.com/images/P/1879384493.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg;22.532829680602827;3;3.3333333333333335
0439095026;Tell Me This Isn't Happening;Tell Me This Isn't Happening;Robynn Clairday;1999;http://images.amazon.com/images/P/0439095026.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0439095026.01.LZZZZZZZ.jpg;135.85821139975806;3;2.1666666666666665
0689821166;Flood : Mississippi 1927;Flood : Mississippi 1927;Kathleen Duey;1998;http://images.amazon.com/images/P/0689821166.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0689821166.01.LZZZZZZZ.jpg;287.6543890050824;2;6.0
0971880107;Wild Animus;Wild Animus;Rich Shapero;2004;http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg;112.74632538035112;9;1.0195843325339728
0345402871;Airframe;Airframe;Michael Crichton;1997;http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg;481.365269400509;8;2.845410628019324
0345417623;Timeline;Timeline;MICHAEL CRICHTON;2000;http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg;251.52237870866145;6;3.7616707616707616
0684823802;OUT OF THE SILENT PLANET;OUT OF THE SILENT PLANET;C.S. Lewis;1996;http://images.amazon.com/images/P/0684823802.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg;5.675954625821989;6;2.5
0375759778;Prague : A Novel;Prague : A Novel;ARTHUR PHILLIPS;2003;http://images.amazon.com/images/P/0375759778.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg;47.496461341963006;6;3.4074074074074074
0425163091;Chocolate Jesus;Chocolate Jesus;Stephan Jaramillo;1998;http://images.amazon.com/images/P/0425163091.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0425163091.01.LZZZZZZZ.jpg;313.056779041354;6;2.5555555555555554
3404921038;Wie Barney es sieht.;Wie Barney es sieht.;Mordecai Richler;2002;http://images.amazon.com/images/P/3404921038.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3404921038.01.LZZZZZZZ.jpg;478.1941555491575;5;7.5
3442353866;Der Fluch der Kaiserin. Ein Richter- Di- Roman.;Der Fluch der Kaiserin. Ein Richter- Di- Roman.;Eleanor Cooney;2001;http://images.amazon.com/images/P/3442353866.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3442353866.01.LZZZZZZZ.jpg;38.43770812951869;4;0.0
3442410665;Sturmzeit. Roman.;Sturmzeit. Roman.;Charlotte Link;1991;http://images.amazon.com/images/P/3442410665.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3442410665.01.LZZZZZZZ.jpg;0.7328046044228209;0;0.0
3442446937;Tage der Unschuld.;Tage der Unschuld.;Richard North Patterson;2000;http://images.amazon.com/images/P/3442446937.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/3442446937.01.LZZZZZZZ.jpg;324.85982905670795;9;0.0
0375406328;Lying Awake;Lying Awake;Mark Salzman;2000;http://images.amazon.com/images/P/0375406328.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg;324.7125932820724;9;3.2941176470588234
0446310786;To Kill a Mockingbird;To Kill a Mockingbird;Harper Lee;1988;http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg;38.41524950285774;3;4.920308483290489
0449005615;Seabiscuit: An American Legend;Seabiscuit: An American Legend;LAURA HILLENBRAND;2002;http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg;239.24025836458972;3;4.138211382113822
0060168013;Pigs in Heaven;Pigs in Heaven;Barbara Kingsolver;1993;http://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg;411.8128830464639;5;3.709090909090909
038078243X;Miss Zukas and the Raven's Dance;Miss Zukas and the Raven's Dance;Jo Dereske;1996;http://images.amazon.com/images/P/038078243X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/038078243X.01.LZZZZZZZ.jpg;193.94812927312356;3;1.4444444444444444
055321215X;Pride and Prejudice;Pride and Prejudice;Jane Austen;1983;http://images.amazon.com/images/P/055321215X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/055321215X.01.LZZZZZZZ.jpg;395.84519031102155;3;0.0
067176537X;The Therapeutic Touch: How to Use Your Hands to Help or to Heal;The Therapeutic Touch: How to Use Your Hands to Help or to Heal;Dolores Krieger;1979;http://images.amazon.com/images/P/067176537X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/067176537X.01.LZZZZZZZ.jpg;431.1818557831291;3;4.0
0061099686;Downtown;Downtown;Anne Rivers Siddons;1995;http://images.amazon.com/images/P/0061099686.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg;454.39692454627703;0;1.4473684210526316
0553582909;Icebound;Icebound;Dean R. Koontz;2000;http://images.amazon.com/images/P/0553582909.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg;487.0848296080846;0;3.2222222222222223
0671888587;I'll Be Seeing You;I'll Be Seeing You;Mary Higgins Clark;1994;http://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg;347.19307046835377;4;1.9428571428571428
0553582747;From the Corner of His Eye;From the Corner of His Eye;Dean Koontz;2001;http://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg;366.7792429179629;7;3.4909090909090907
0425182908;Isle of Dogs;Isle of Dogs;Patricia Cornwell;2002;http://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg;276.71181735569394;2;1.8669950738916257
042518630X;Purity in Death;Purity in Death;J.D. Robb;2002;http://images.amazon.com/images/P/042518630X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg;453.4977258351594;7;2.3207547169811322
0440223571;This Year It Will Be Different: And Other Stories;This Year It Will Be Different: And Other Stories;Maeve Binchy;1997;http://images.amazon.com/images/P/0440223571.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0440223571.01.LZZZZZZZ.jpg;319.56855236828284;3;2.4237288135593222
0812523873;Proxies;Proxies;Laura J. Mixon;1999;http://images.amazon.com/images/P/0812523873.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0812523873.01.LZZZZZZZ.jpg;93.56904470805883;7;0.0
0842342702;Left Behind: A Novel of the Earth's Last Days (Left Behind #1);Left Behind: A Novel of the Earth's Last Days (Left Behind #1);Tim Lahaye;2000;http://images.amazon.com/images/P/0842342702.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg;96.7234107210051;0;2.883720930232558
0440225701;The Street Lawyer;The Street Lawyer;JOHN GRISHAM;1999;http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg;58.64670144173473;1;2.6754617414248023
0060914068;Love, Medicine and Miracles;Love, Medicine and Miracles;M.D. Bernie S. Siegel;1988;http://images.amazon.com/images/P/0060914068.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060914068.01.LZZZZZZZ.jpg;351.6709236207817;9;3.3
0156047624;All the King's Men;All the King's Men;Robert Penn Warren;1982;http://images.amazon.com/images/P/0156047624.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0156047624.01.LZZZZZZZ.jpg;218.19220034455205;8;3.2222222222222223
0245542957;Pacific Northwest;Pacific Northwest;Hans Johannes Hoefer;1985;http://images.amazon.com/images/P/0245542957.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0245542957.01.LZZZZZZZ.jpg;138.92678487838094;6;6.0
0380715899;A Soldier of the Great War;A Soldier of the Great War;Mark Helprin;1992;http://images.amazon.com/images/P/0380715899.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0380715899.01.LZZZZZZZ.jpg;34.11331212038354;4;2.761904761904762
0553280333;Getting Well Again;Getting Well Again;O. Carol Simonton Md;1992;http://images.amazon.com/images/P/0553280333.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0553280333.01.LZZZZZZZ.jpg;485.68800013332344;9;0.0
0961769947;Northwest Wines and Wineries;Northwest Wines and Wineries;Chuck Hill;1993;http://images.amazon.com/images/P/0961769947.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0961769947.01.LZZZZZZZ.jpg;198.6045192067692;8;0.0
0964778319;An Atmosphere of Eternity: Stories of India;An Atmosphere of Eternity: Stories of India;David Iglehart;2002;http://images.amazon.com/images/P/0964778319.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0964778319.01.LZZZZZZZ.jpg;90.1911600217864;4;5.0
0671623249;LONESOME DOVE;LONESOME DOVE;Larry McMurtry;1986;http://images.amazon.com/images/P/0671623249.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671623249.01.LZZZZZZZ.jpg;155.56303456357912;2;3.830188679245283
0679810307;Shabanu: Daughter of the Wind (Border Trilogy);Shabanu: Daughter of the Wind (Border Trilogy);SUZANNE FISHER STAPLES;1991;http://images.amazon.com/images/P/0679810307.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0679810307.01.LZZZZZZZ.jpg;282.02747080787265;7;2.6470588235294117
0679865691;Haveli (Laurel Leaf Books);Haveli (Laurel Leaf Books);SUZANNE FISHER STAPLES;1995;http://images.amazon.com/images/P/0679865691.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0679865691.01.LZZZZZZZ.jpg;249.9081415419795;4;3.5
